time_from_start,panda_joint1_pos,panda_joint1_vel,panda_joint2_pos,panda_joint2_vel,panda_joint3_pos,panda_joint3_vel,panda_joint4_pos,panda_joint4_vel,panda_joint5_pos,panda_joint5_vel,panda_joint6_pos,panda_joint6_vel,panda_joint7_pos,panda_joint7_vel,eef_pos_x,eef_pos_y,eef_pos_z,eef_orient_x,eef_orient_y,eef_orient_z,eef_orient_w
1.8,0.000178698,-0.00359551,-0.786656,0.00242055,4.78425e-05,-0.00168251,-2.35492,-0.00444182,1.93556e-05,-0.00746661,1.57599,0.0078498,0.785362,0.0038548,0.307152,6.54385e-05,0.591728,-0.923914,0.382581,-0.0035677,0.00147056
1.833,0.000150828,-0.0053285,-0.786659,0.00849978,4.84356e-05,0.0146573,-2.35492,0.0124147,2.56266e-05,0.0111949,1.57598,-0.00397651,0.785359,-0.00231304,0.30715,7.60906e-05,0.591728,-0.92392,0.382566,-0.0035697,0.00147113
1.866,0.000169463,-0.00451283,-0.786667,-0.00980309,3.57186e-05,-0.000860941,-2.35493,-0.0112464,1.59493e-05,0.00105801,1.57599,0.0124929,0.785361,0.00150151,0.307149,6.84357e-05,0.59173,-0.923916,0.382577,-0.00356814,0.00147359
1.9,0.000129238,0.00426416,-0.786657,0.000645724,3.52662e-05,-0.00106117,-2.35492,0.00951202,1.38346e-05,0.00499341,1.57597,-0.0102351,0.78536,-0.00189475,0.307147,6.80399e-05,0.591727,-0.923917,0.382573,-0.00356829,0.00147331
1.933,0.000150678,0.00384256,-0.786658,0.00134574,3.81981e-05,-0.00687238,-2.35493,0.00400861,1.03508e-05,-0.00582548,1.57598,-0.0097322,0.785361,-0.00130479,0.307148,5.5279e-05,0.591728,-0.92391,0.382592,-0.00356357,0.00147029
1.966,0.000140422,0.000745669,-0.786659,-0.0110209,4.32412e-05,-0.00354106,-2.35493,-0.0171401,1.54654e-05,-0.00416654,1.57599,0.00675267,0.785363,0.00113644,0.307149,6.2666e-05,0.591725,-0.923914,0.382581,-0.00356525,0.00146803
2,0.000144424,0.00541189,-0.786648,0.0079431,4.66542e-05,-0.00116268,-2.35492,0.00690273,1.9097e-05,-0.000278223,1.57599,-0.00322535,0.785362,-0.000508846,0.307149,6.20786e-05,0.591724,-0.923912,0.382585,-0.00356822,0.00147009
2.033,0.000178683,-0.00360785,-0.786656,0.00242,4.81369e-05,-0.00167588,-2.35492,-0.00444216,1.94337e-05,-0.00747748,1.57599,0.00785094,0.785362,0.00385613,0.307152,6.50609e-05,0.591728,-0.923914,0.382582,-0.00356765,0.00147052
2.066,0.000150819,-0.00532888,-0.786659,0.00849976,4.8592e-05,0.014652,-2.35492,0.0124147,2.56311e-05,0.0111946,1.57598,-0.0039766,0.785359,-0.00231295,0.30715,7.62123e-05,0.591728,-0.92392,0.382566,-0.00356972,0.00147107
2.1,0.000145295,-0.00549889,-0.786636,0.0124424,4.9265e-05,0.0147748,-2.3549,0.0161077,2.34877e-05,0.010768,1.57599,-0.00228557,0.78536,-0.00208985,0.307149,6.84959e-05,0.59173,-0.923916,0.382577,-0.00356816,0.00147354
