time_from_start,panda_joint1_pos,panda_joint2_pos,panda_joint3_pos,panda_joint4_pos,panda_joint5_pos,panda_joint6_pos,panda_joint7_pos,panda_joint1_vel,panda_joint2_vel,panda_joint3_vel,panda_joint4_vel,panda_joint5_vel,panda_joint6_vel,panda_joint7_vel,ee_pos_x,ee_pos_y,ee_pos_z,ee_ori_x,ee_ori_y,ee_ori_z,ee_ori_w
2.29092,0.000165658,3.27615e-05,-1.06104,-0.344653,9.83263e-05,3.60849e-05,-2.41334,-0.567459,6.93269e-05,4.56212e-05,1.36071,0.222806,0.78538,1.65661e-05,0.210317,7.78099e-05,0.616728,0.923919,-0.382566,0.00389042,-0.00160212
2.33104,0.000166858,3.0963e-05,-1.07353,-0.31931,9.96727e-05,3.55217e-05,-2.43469,-0.569226,7.10038e-05,4.35385e-05,1.36958,0.249916,0.785381,1.24643e-05,0.208947,7.78099e-05,0.610597,0.923919,-0.382566,0.00389042,-0.00160212
2.36578,0.00016797,3.16281e-05,-1.0849,-0.320557,0.000100975,3.80682e-05,-2.45575,-0.622864,7.25769e-05,4.52047e-05,1.37927,0.302307,0.785381,9.15937e-06,0.207964,7.78099e-05,0.604393,0.923919,-0.382566,0.00389042,-0.00160212
2.39811,0.00016898,2.86746e-05,-1.09505,-0.286116,0.000102224,3.66878e-05,-2.47643,-0.615161,7.40358e-05,4.20716e-05,1.3898,0.329044,0.785381,4.37513e-06,0.207373,7.78099e-05,0.598138,0.923919,-0.382566,0.00389042,-0.00160212
2.43232,0.000169873,2.29969e-05,-1.10388,-0.22637,0.000103412,3.19688e-05,-2.49664,-0.552333,7.53705e-05,3.52051e-05,1.40117,0.325963,0.785381,-6.8246e-07,0.207176,7.78099e-05,0.591859,0.923919,-0.382566,0.00389042,-0.00160212
2.47056,0.000170634,1.75492e-05,-1.11132,-0.171063,0.00010453,2.74915e-05,-2.51629,-0.493036,7.65713e-05,2.88316e-05,1.41339,0.321973,0.785381,-5.21846e-06,0.207373,7.78099e-05,0.58558,0.923919,-0.382566,0.00389042,-0.00160212
2.51084,0.000171246,1.33462e-05,-1.11727,-0.113419,0.000105568,2.05258e-05,-2.53531,-0.401358,7.76292e-05,2.07893e-05,1.42646,0.28794,0.785381,-1.13871e-05,0.207964,7.78099e-05,0.579326,0.923919,-0.382566,0.00389043,-0.00160212
2.56615,0.000171881,9.34489e-06,-1.12165,-0.0762305,0.000106413,1.90688e-05,-2.5536,-0.39975,7.84763e-05,1.7668e-05,1.44036,0.323519,0.78538,-1.66392e-05,0.208947,7.78099e-05,0.573121,0.923919,-0.382566,0.00389042,-0.00160213
2.60341,0.00017215,4.58663e-06,-1.12438,-0.0501421,0.000107264,2.13557e-05,-2.57106,-0.454554,7.92221e-05,1.77204e-05,1.4551,0.404412,0.78538,-2.02633e-05,0.210317,7.78099e-05,0.56699,0.923919,-0.382566,0.00389042,-0.00160213
2.64102,0.000172224,-1.31931e-06,-1.12539,-0.000433455,0.000108011,2.08485e-05,-2.58762,-0.487355,7.98021e-05,1.47239e-05,1.47064,0.486922,0.785379,-2.91291e-05,0.21207,7.78099e-05,0.560958,0.923919,-0.382566,0.00389042,-0.00160212
